Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
0,"Mohammad Masudur Rahman, Chanchal Roy","Improved query reformulation for concept location using CodeRank and document structures",2017,"","PeerJ","http://dx.doi.org/10.7287/peerj.preprints.3186","",1,"2018-11-02","posted-content","10.7287/peerj.preprints.3186","","https://peerj.com/preprints/3186.pdf",,,,,0,0.00,0,2,1
0,"Mohammad Masudur Rahman, Chanchal Roy","Improved query reformulation for concept location using CodeRank and document structures",2017,"","PeerJ","http://dx.doi.org/10.7287/peerj.preprints.3186v1","",2,"2018-11-02","posted-content","10.7287/peerj.preprints.3186v1","","https://peerj.com/preprints/3186.pdf",,,,,0,0.00,0,2,1
0,"Mohammad Masudur Rahman, Chanchal Roy","Improved query reformulation for concept location using CodeRank and document structures",2017,"","PeerJ","http://dx.doi.org/10.7287/peerj.preprints.3186v2","",3,"2018-11-02","posted-content","10.7287/peerj.preprints.3186v2","","https://peerj.com/preprints/3186.pdf",,,,,0,0.00,0,2,1
19,"Bunyamin Sisman, Avinash C. Kak","Assisting code search with automatic Query Reformulation for bug localization",2013,"2013 10th Working Conference on Mining Software Repositories (MSR)","IEEE","http://dx.doi.org/10.1109/msr.2013.6624044","",4,"2018-11-02","proceedings-article","10.1109/msr.2013.6624044","","http://xplorestaging.ieee.org/ielx7/6597024/6623991/06624044.pdf?arnumber=6624044",,,,,19,3.80,10,2,5
0,"Mohammad Masudur Rahman, Chanchal K. Roy","Improved query reformulation for concept location using CodeRank and document structures",2017,"2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","IEEE","http://dx.doi.org/10.1109/ase.2017.8115655","",5,"2018-11-02","proceedings-article","10.1109/ase.2017.8115655","","http://xplorestaging.ieee.org/ielx7/8106906/8115603/08115655.pdf?arnumber=8115655",,,,,0,0.00,0,2,1
3,"Mohammad Masudur Rahman, Chanchal K. Roy","QUICKAR: automatic query reformulation for concept location using crowdsourced knowledge",2016,"Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering - ASE 2016","ACM Press","http://dx.doi.org/10.1145/2970276.2970362","",6,"2018-11-02","proceedings-article","10.1145/2970276.2970362","","http://dl.acm.org/ft_gateway.cfm?id=2970362&amp;ftid=1783761&amp;dwn=1",,,,,3,1.50,2,2,2
0,"Zhipeng Huang, Yuqiu Qian, Nikos Mamoulis","Location-aware query reformulation for search engines",2018,"GeoInformatica","Springer Nature America, Inc","http://dx.doi.org/10.1007/s10707-018-0334-5","",7,"2018-11-02","journal-article","10.1007/s10707-018-0334-5","1384-6175","http://link.springer.com/article/10.1007/s10707-018-0334-5/fulltext.html",22,4,869,893,0,0.00,0,3,1
10,"Emily Hill, Shivani Rao, Avinash Kak","On the Use of Stemming for Concern Location and Bug Localization in Java",2012,"2012 IEEE 12th International Working Conference on Source Code Analysis and Manipulation","IEEE","http://dx.doi.org/10.1109/scam.2012.29","",8,"2018-11-02","proceedings-article","10.1109/scam.2012.29","","http://xplorestaging.ieee.org/ielx5/6389882/6392095/06392117.pdf?arnumber=6392117",,,,,10,1.67,3,3,6
0,"","Optimal-Location Query",2017,"Encyclopedia of GIS","Springer International Publishing","http://dx.doi.org/10.1007/978-3-319-17885-1_100911","",9,"2018-11-02","book-chapter","10.1007/978-3-319-17885-1_100911","","http://link.springer.com/content/pdf/10.1007/978-3-319-17885-1_100911",,,1522,1522,0,0.00,0,0,1
0,"Shu Huang, Qiankun Zhao, Prasenjit Mitra, C. Lee Giles","Query Expansion Using Topic and Location",2007,"Seventh IEEE International Conference on Data Mining Workshops (ICDMW 2007)","IEEE","http://dx.doi.org/10.1109/icdmw.2007.116","",10,"2018-11-02","proceedings-article","10.1109/icdmw.2007.116","","http://xplorestaging.ieee.org/ielx5/4476629/4476630/04476732.pdf?arnumber=4476732",,,,,0,0.00,0,4,11
