Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
4,"E Hill, A Bacchelli, D Binkley, B Dit…","Which feature location technique is better?",2013,"… (ICSM), 2013 29th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6676919/","https://scholar.google.com/scholar?cites=15768976493629970923&as_sdt=2005&sciodt=0,5&hl=en",18,"2018-11-02","","","","",,,,,4,0.80,1,5,5
8,"Z Shi, J Keung, Q Song","An empirical study of BM25 and BM25F based feature location techniques",2014,"Proceedings of the International Workshop on …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2666594","https://scholar.google.com/scholar?cites=10886440677733639248&as_sdt=2005&sciodt=0,5&hl=en",19,"2018-11-02","","","","",,,,,8,2.00,3,3,4
11,"OAL Lemos, AC de Paula, H Sajnani…","Can the use of types and query expansion help improve large-scale code search?",2015,"Source Code Analysis …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7335400/","https://scholar.google.com/scholar?cites=3074193377144862465&as_sdt=2005&sciodt=0,5&hl=en",20,"2018-11-02","","","","",,,,,11,3.67,3,4,3
7,"D Binkley, D Lawrie, C Uehlinger, D Heinz","Enabling improved ir-based feature location",2015,"Journal of Systems and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164121214002428","https://scholar.google.com/scholar?cites=11756276956553477892&as_sdt=2005&sciodt=0,5&hl=en",21,"2018-11-02","","","","",,,,,7,2.33,2,4,3
19,"L Moreno, G Bavota, S Haiduc, M Di Penta…","Query-based configuration of text retrieval solutions for software engineering tasks",2015,"Proceedings of the …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2786859","https://scholar.google.com/scholar?cites=6291981931944362780&as_sdt=2005&sciodt=0,5&hl=en",22,"2018-11-02","","","","",,,,,19,6.33,4,5,3
13,"Y Zhang, D Lo, X Xia, TDB Le, G Scanniello, J Sun","Inferring links between concerns and methods with multi-abstraction vector space model",2016,"","ink.library.smu.edu.sg","http://ink.library.smu.edu.sg/sis_research/3667/","https://scholar.google.com/scholar?cites=14209945483541624122&as_sdt=2005&sciodt=0,5&hl=en",23,"2018-11-02","","","","",,,,,13,6.50,2,6,2
4,"N Alhindawi, J Alsakran, A Rodan…","A survey of concepts location enhancement for program comprehension and maintenance",2014,"Journal of Software …","eacademic.ju.edu.jo","http://eacademic.ju.edu.jo/a.rodan/Lists/Published%20Research/Attachments/7/JSEA_2014052012052070%20(1).pdf","https://scholar.google.com/scholar?cites=12161591932702745797&as_sdt=2005&sciodt=0,5&hl=en",24,"2018-11-02","PDF","","","",,,,,4,1.00,1,4,4
18,"D Binkley, D Lawrie","Learning to rank improves IR in SE",2014,"Software Maintenance and Evolution …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6976114/","https://scholar.google.com/scholar?cites=14319904228793670178&as_sdt=2005&sciodt=0,5&hl=en",25,"2018-11-02","","","","",,,,,18,4.50,9,2,4
4,"MM Rahman, CK Roy","STRICT: Information retrieval based search term identification for concept location",2017,"Software Analysis, Evolution and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7884611/","https://scholar.google.com/scholar?cites=3683557270721060899&as_sdt=2005&sciodt=0,5&hl=en",26,"2018-11-02","","","","",,,,,4,4.00,2,2,1
3,"B Sisman, SA Akbar, AC Kak","Exploiting spatial code proximity and order for improved source code retrieval for bug localization",2017,"Journal of Software: Evolution …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1805","https://scholar.google.com/scholar?cites=14041856741715759360&as_sdt=2005&sciodt=0,5&hl=en",27,"2018-11-02","","","","",,,,,3,3.00,1,3,1
28,"C Treude, MP Robillard…","Extracting development tasks to navigate software documentation",2015,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7000568/","https://scholar.google.com/scholar?cites=7170502041181141878&as_sdt=2005&sciodt=0,5&hl=en",28,"2018-11-02","","","","",,,,,28,9.33,9,3,3
94,"Y Ke, KT Stolee, C Le Goues…","Repairing programs with semantic code search (t)",2015,"… Engineering (ASE), 2015 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7372019/","https://scholar.google.com/scholar?cites=16959584698881501758&as_sdt=2005&sciodt=0,5&hl=en",29,"2018-11-02","","","","",,,,,94,31.33,24,4,3
4,"R Francese, M Risi, G Scanniello","Enhancing Software Visualization with Information Retrieval",2015,"Information Visualisation (iV …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7272600/","https://scholar.google.com/scholar?cites=15680230022638755853&as_sdt=2005&sciodt=0,5&hl=en",30,"2018-11-02","","","","",,,,,4,1.33,1,3,3
3,"M Sulír, J Porubän","Locating user interface concepts in source code",2016,"OASIcs-OpenAccess Series in Informatics","drops.dagstuhl.de","http://drops.dagstuhl.de/opus/volltexte/2016/6011/","https://scholar.google.com/scholar?cites=14636908342543280670&as_sdt=2005&sciodt=0,5&hl=en",31,"2018-11-02","","","","",,,,,3,1.50,2,2,2
9,"C Mills, G Bavota, S Haiduc, R Oliveto…","Predicting query quality for applications of text retrieval to software engineering tasks",2017,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3078841","https://scholar.google.com/scholar?cites=11049128842174702112&as_sdt=2005&sciodt=0,5&hl=en",32,"2018-11-02","","","","",,,,,9,9.00,2,5,1
1,"P Shao","Combining information retrieval modules and structural information for source code bug localization and feature location",2011,"","ir.ua.edu","http://ir.ua.edu/handle/123456789/1238","https://scholar.google.com/scholar?cites=15943469876104842755&as_sdt=2005&sciodt=0,5&hl=en",33,"2018-11-02","","","","",,,,,1,0.14,1,1,7
2,"S Haiduc","Supporting query formulation for text retrieval applications in software engineering",2014,"Software Maintenance and Evolution (ICSME), 2014 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6976161/","https://scholar.google.com/scholar?cites=3222374949109085116&as_sdt=2005&sciodt=0,5&hl=en",34,"2018-11-02","","","","",,,,,2,0.50,2,1,4
1728,"P Ewick, SS Silbey","The common place of law: Stories from everyday life",1998,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=H6Cil7eLCUcC&oi=fnd&pg=PR9&dq=%22(%22query+reformulation%22+)+++AND+++(++%22bug+localization%22++OR++%22concept+location%22++OR++%22feature+location%22++OR++%22concern+location%22++OR++%22code+search%22+++)%22&ots=ekH0KKt0Oa&sig=jz-5W7ynBh9DS0WIhJzD_S3YAX4","https://scholar.google.com/scholar?cites=7104086195987748666&as_sdt=2005&sciodt=0,5&hl=en",35,"2018-11-02","BOOK","","","",,,,,1728,86.40,864,2,20
2,"Y Zhang, D Lo, X Xia, G Scanniello, TDB Le…","Fusing multi-abstraction vector space models for concern localization",2018,"Empirical Software …","Springer","https://link.springer.com/article/10.1007/s10664-017-9585-2","https://scholar.google.com/scholar?cites=2435166078803421900&as_sdt=2005&sciodt=0,5&hl=en",36,"2018-11-02","","","","",,,,,2,2.00,0,6,1
1,"SD Ohlemacher, A Marcus","Towards a Benchmark and Automatic Calibration for IR-Based Concept Location",2011,"Program Comprehension (ICPC) …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5970173/","https://scholar.google.com/scholar?cites=14431732385509523186&as_sdt=2005&sciodt=0,5&hl=en",37,"2018-11-02","","","","",,,,,1,0.14,1,2,7
2,"SC Haiduc","Supporting text retrieval query formulation in software engineering",2013,"","digitalcommons.wayne.edu","http://digitalcommons.wayne.edu/cgi/viewcontent.cgi?article=1764&context=oa_dissertations","https://scholar.google.com/scholar?cites=861087830708393164&as_sdt=2005&sciodt=0,5&hl=en",38,"2018-11-02","PDF","","","",,,,,2,0.40,2,1,5
7,"O Chaparro, JM Florez, A Marcus","Using Observed Behavior to Reformulate Queries during Text Retrieval-based Bug Localization",2017,"Software Maintenance and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8094437/","https://scholar.google.com/scholar?cites=4119087369269369295&as_sdt=2005&sciodt=0,5&hl=en",39,"2018-11-02","","","","",,,,,7,7.00,2,3,1
1,"E Hill, D Shepherd, L Pollock","Exploring the use of concern element role information in feature location evaluation",2015,"Proceedings of the 2015 IEEE 23rd …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2820303","https://scholar.google.com/scholar?cites=6903120546507544566&as_sdt=2005&sciodt=0,5&hl=en",40,"2018-11-02","","","","",,,,,1,0.33,0,3,3
