Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Compositional Theory of Refinement for Branching Time","Correct Hardware Design and Verification Methods","","","","10.1007/978-3-540-39724-3_28","Panagiotis Manolios","2003","http://link.springer.com/chapter/10.1007/978-3-540-39724-3_28","Chapter"
"Restructuring Object-Oriented Applications into Component-Oriented Applications by Using Consistency with Execution Traces","Component-Based Software Engineering","","","","10.1007/978-3-642-13238-4_13","Simon AllierHouari A. SahraouiSalah SadouStéphane Vaucher","2010","http://link.springer.com/chapter/10.1007/978-3-642-13238-4_13","Chapter"
"Applying User Feedback and Query Learning Methods to Multiple Communities","Principles of Practice in Multi-Agent Systems","","","","10.1007/978-3-642-11161-7_19","Tsunenori MineHirotake Kobayashi","2009","http://link.springer.com/chapter/10.1007/978-3-642-11161-7_19","Chapter"
"In Search of Unstructured Documents Categorization","Advances in Communication and Networking","","","","10.1007/978-3-642-10236-3_10","Debnath BhattacharyyaPoulami DasKheyali MitraDebashis GangulyPurnendu DasSamir Kumar BandyopadhyayTai-hoon Kim","2009","http://link.springer.com/chapter/10.1007/978-3-642-10236-3_10","Chapter"
"LILOG-DB: Database Support for Knowledge-Based Systems","Datenbanksysteme in Büro, Technik und Wissenschaft","","","","10.1007/978-3-642-74571-3_15","Th. LudwigB. WalterM. LeyA. MaierE. Gehlen","1989","http://link.springer.com/chapter/10.1007/978-3-642-74571-3_15","Chapter"
"Optimal Genetic Query Algorithm for Information Retrieval","Parallel and Distributed Processing and Applications","","","","10.1007/978-3-540-30566-8_102","Ziqiang WangBoqin Feng","2005","http://link.springer.com/chapter/10.1007/978-3-540-30566-8_102","Chapter"
"Approaching Wordnets through a Structural Point of View","Metainformatics","","","","10.1007/3-540-44872-1_7","Dimitris AvramidisMaria KyriakopoulouManolis TzagarakisSofia StamouDimitris Christodoulakis","2003","http://link.springer.com/chapter/10.1007/3-540-44872-1_7","Chapter"
"The null extended nested relational model","The Nested Universal Relation Database Model","","","","10.1007/3-540-55493-9_3","","1992","http://link.springer.com/chapter/10.1007/3-540-55493-9_3","Chapter"
"A Semantic Searching Scheme in Heterogeneous Unstructured P2P Networks","Journal of Computer Science and Technology","","26","6","10.1007/s11390-011-1190-z","Jun-Cheng HuangXiu-Qi LiJie Wu","2011","http://link.springer.com/article/10.1007/s11390-011-1190-z","Article"
"An Energy Efficient Filtering Approach to In-Network Join Processing in Sensor Network Databases","Multimedia, Computer Graphics and Broadcasting","","","","10.1007/978-3-642-27186-1_14","Kyung-Chang KimByung-Jung Oh","2011","http://link.springer.com/chapter/10.1007/978-3-642-27186-1_14","Chapter"
"A Dynamic Key Length Based Approach for Real-Time Security Verification of Big Sensing Data Stream","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26187-4_7","Deepak PuthalSurya NepalRajiv RanjanJinjun Chen","2015","http://link.springer.com/chapter/10.1007/978-3-319-26187-4_7","Chapter"
"mNIR: Diversifying Search Results Based on a Mixture of Novelty, Intention and Relevance","Web Information Systems Engineering - WISE 2012","","","","10.1007/978-3-642-35063-4_43","Reza Taghizadeh HemayatiLaleh Jafarian DehkordiWeiyi Meng","2012","http://link.springer.com/chapter/10.1007/978-3-642-35063-4_43","Chapter"
"A distributed algorithm for determining minimal covers of acyclic database schemes","Journal of Computer Science and Technology","","9","3","10.1007/BF02939502","Xinming Ye","1994","http://link.springer.com/article/10.1007/BF02939502","Article"
"Uncertainty as a Function of Expertise","Incompleteness and Uncertainty in Information Systems","","","","10.1007/978-1-4471-3242-4_12","Nematolaah ShiriHasan M. Jamil","1994","http://link.springer.com/chapter/10.1007/978-1-4471-3242-4_12","Chapter"
"Software Mining Studies: Goals, Approaches, Artifacts, and Replicability","Software Engineering","","","","10.1007/978-3-319-28406-4_5","Sven AmannStefanie BeyerKatja KevicHarald Gall","2015","http://link.springer.com/chapter/10.1007/978-3-319-28406-4_5","Chapter"
