Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Euro-Mediterranean Centre for Climate Change Data Grid","Distributed and Parallel Systems","","","","10.1007/978-0-387-79448-8_7","Sandro FioreSalvatore VadaccaAlessandro NegroGiovanni Aloisio","2008","http://link.springer.com/chapter/10.1007/978-0-387-79448-8_7","Chapter"
"Multi-attribute Hashing of Wireless Data for Content-Based Queries","Distributed Computing and Internet Technology","","","","10.1007/11604655_18","Yon Dohn ChungJi Yeon Lee","2005","http://link.springer.com/chapter/10.1007/11604655_18","Chapter"
"Adaptive User Modelling in an Intelligent Telephone Assistant","Soft-Ware 2002: Computing in an Imperfect World","","","","10.1007/3-540-46019-5_8","Trevor P. MartinBenham Azvine","2002","http://link.springer.com/chapter/10.1007/3-540-46019-5_8","Chapter"
"ULYSSES: A lattice-based multiple interaction strategy retrieval interface","Human-Computer Interaction","","","","10.1007/3-540-60614-9_7","Claudio CarpinetoGiovanni Romano","1995","http://link.springer.com/chapter/10.1007/3-540-60614-9_7","Chapter"
"A Survey of Commonsense Knowledge Acquisition","Journal of Computer Science and Technology","","28","4","10.1007/s11390-013-1369-6","Liang-Jun ZangCong CaoYa-Nan CaoYu-Ming WuCun-Gen CAO","2013","http://link.springer.com/article/10.1007/s11390-013-1369-6","Article"
"WorldTravel: A Testbed for Service-Oriented Applications","Service-Oriented Computing – ICSOC 2008","","","","10.1007/978-3-540-89652-4_33","Peter BudnySrihari GovindharajKarsten Schwan","2008","http://link.springer.com/chapter/10.1007/978-3-540-89652-4_33","Chapter"
"Insights into Entity Name Evolution on Wikipedia","Web Information Systems Engineering – WISE 2014","","","","10.1007/978-3-319-11746-1_4","Helge HolzmannThomas Risse","2014","http://link.springer.com/chapter/10.1007/978-3-319-11746-1_4","Chapter"
"Incorporating negation","Conclog: A Methodological Approach to Concurrent Logic Programming","","","","10.1007/3-540-54938-2_6","","1991","http://link.springer.com/chapter/10.1007/3-540-54938-2_6","Chapter"
"Leveraging Exemplar and Saliency Model for Image Search Reranking","Advances in Multimedia Information Processing – PCM 2012","","","","10.1007/978-3-642-34778-8_16","Hong LuKai ChenGuobao JiangRenzhong WeiXiangyang Xue","2012","http://link.springer.com/chapter/10.1007/978-3-642-34778-8_16","Chapter"
"A Clustering-Based Approach for Tracing Object-Oriented Design to Requirement","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-540-71289-3_31","Xin ZhouHui Yu","2007","http://link.springer.com/chapter/10.1007/978-3-540-71289-3_31","Chapter"
"Methods for automatic term recognition in domain-specific text collections: A survey","Programming and Computer Software","","41","6","10.1134/S036176881506002X","N. A. AstrakhantsevD. G. FedorenkoD. Yu. Turdakov","2015","http://link.springer.com/article/10.1134/S036176881506002X","Article"
"A Proposal for Making Argumentation Computationally Capable of Handling Large Repositories of Uncertain Data","Scalable Uncertainty Management","","","","10.1007/978-3-642-04388-8_9","Marcela CapobiancoGuillermo R. Simari","2009","http://link.springer.com/chapter/10.1007/978-3-642-04388-8_9","Chapter"
"Software Development Support for Shared Sensing Infrastructures: A Generative and Dynamic Approach","Software Reuse for Dynamic Systems in the Cloud and Beyond","","","","10.1007/978-3-319-14130-5_16","Cyril CecchinelSébastien MosserPhilippe Collet","2014","http://link.springer.com/chapter/10.1007/978-3-319-14130-5_16","Chapter"
"Chaotic fixpoint iteration guided by dynamic dependency","Static Analysis","","","","10.1007/3-540-57264-3_27","Niels JØrgensen","1993","http://link.springer.com/chapter/10.1007/3-540-57264-3_27","Chapter"
"Let the fingers do the walking: Object manipulation in an NF2 database editor","New Results and New Trends in Computer Science","","","","10.1007/BFb0038201","Lutz M. Wegner","1991","http://link.springer.com/chapter/10.1007/BFb0038201","Chapter"
"Propagating differences: An efficient new fixpoint algorithm for distributive constraint systems","Programming Languages and Systems","","","","10.1007/BFb0053565","Christian FechtHelmut Seidl","1998","http://link.springer.com/chapter/10.1007/BFb0053565","Chapter"
"Recommendation Systems in-the-Small","Recommendation Systems in Software Engineering","","","","10.1007/978-3-642-45135-5_4","Laura InozemtsevaReid HolmesRobert J. Walker","2014","http://link.springer.com/chapter/10.1007/978-3-642-45135-5_4","Chapter"
"Parallel and Distributed Solutions for the Optimal Binary Search Tree Problem","Advanced Environments, Tools, and Applications for Cluster Computing","","","","10.1007/3-540-47840-X_10","Mitică Craus","2002","http://link.springer.com/chapter/10.1007/3-540-47840-X_10","Chapter"
"Managing Large Repositories of Natural Language Requirements","Engineering and Managing Software Requirements","","","","10.1007/3-540-28244-0_10","Johan Natt och DagVincenzo Gervasi","2005","http://link.springer.com/chapter/10.1007/3-540-28244-0_10","Chapter"
"Natural and formal language processing","Logic Programming in Action","","","","10.1007/3-540-55930-2_12","Michael Hess","1992","http://link.springer.com/chapter/10.1007/3-540-55930-2_12","Chapter"
"Enhancing the P2P Protocols to Support Advanced Multi-keyword Queries","NETWORKING 2006. Networking Technologies, Services, and Protocols; Performance of Computer and Communication Networks; Mobile and Wireless Communications Systems","","","","10.1007/11753810_53","Samir Ghamri-DoudaneNazim Agoulmine","2006","http://link.springer.com/chapter/10.1007/11753810_53","Chapter"
"Cost Models and Performance Evaluation of Similarity Search in the HON P2P System","Parallel and Distributed Processing and Applications","","","","10.1007/11946441_70","Mouna KacimiKokou Yétongnon","2006","http://link.springer.com/chapter/10.1007/11946441_70","Chapter"
"Towards a Better Semantic Matching for Indexation Improvement of Error-Prone (Semi-)Structured XML Documents","Web Information Systems and Technologies","","","","10.1007/978-3-642-22810-0_21","Arnaud RenardSylvie CalabrettoBéatrice Rumpler","2011","http://link.springer.com/chapter/10.1007/978-3-642-22810-0_21","Chapter"
"Semantic Structure Matching for Assessing Web-Service Similarity","Service-Oriented Computing - ICSOC 2003","","","","10.1007/978-3-540-24593-3_14","Yiqiao WangEleni Stroulia","2003","http://link.springer.com/chapter/10.1007/978-3-540-24593-3_14","Chapter"
"ELA—A new Approach for Learning Agents","Autonomous Agents and Multi-Agent Systems","","10","3","10.1007/s10458-004-6976-8","Fabrício EnembreckJean-Paul Brathès","2005","http://link.springer.com/article/10.1007/s10458-004-6976-8","Article"
"XSPARQL: Traveling between the XML and RDF Worlds – and Avoiding the XSLT Pilgrimage","The Semantic Web: Research and Applications","","","","10.1007/978-3-540-68234-9_33","Waseem AkhtarJacek KopeckýThomas KrennwallnerAxel Polleres","2008","http://link.springer.com/chapter/10.1007/978-3-540-68234-9_33","Chapter"
"Event Processing over a Distributed JSON Store: Design and Performance","Web Information Systems Engineering – WISE 2014","","","","10.1007/978-3-319-11746-1_28","Miki EnokiJérôme SiméonHiroshi HoriiMartin Hirzel","2014","http://link.springer.com/chapter/10.1007/978-3-319-11746-1_28","Chapter"
"Developing SBVR Vocabularies and Business Rules from OWL2 Ontologies","Information and Software Technologies","","","","10.1007/978-3-642-41947-8_13","Gintare BernotaityteLina NemuraiteRita ButkieneBronius Paradauskas","2013","http://link.springer.com/chapter/10.1007/978-3-642-41947-8_13","Chapter"
"Building Theories from Multiple Evidence Sources","Guide to Advanced Empirical Software Engineering","","","","10.1007/978-1-84800-044-5_13","Forrest ShullRaimund L. Feldmann","2008","http://link.springer.com/chapter/10.1007/978-1-84800-044-5_13","Chapter"
"A categorial theory of objects as observed processes","Foundations of Object-Oriented Languages","","","","10.1007/BFb0019445","H. -D. EhrichJ. A. GoguenA. Sernadas","1991","http://link.springer.com/chapter/10.1007/BFb0019445","Chapter"
"From Subject Directories to Subject Meta-directories via Declarative Programming","Practical Aspects of Declarative Languages","","","","10.1007/3-540-45241-9_4","Antonio BrogiGianluca Caruso","2001","http://link.springer.com/chapter/10.1007/3-540-45241-9_4","Chapter"
"Place in Perspective: Extracting Online Information about Points of Interest","Ambient Intelligence","","","","10.1007/978-3-642-16917-5_7","Ana O. AlvesFrancisco C. PereiraFilipe RodriguesJoão Oliveirinha","2010","http://link.springer.com/chapter/10.1007/978-3-642-16917-5_7","Chapter"
"ITTALKS: An application of agents in the Semantic Web","Engineering Societies in the Agents World II","","","","10.1007/3-540-45584-1_12","Filip PerichLalana KagalHarry ChenSovrin ToliaYouyong ZouTim FininAnupam JoshiYun PengR. Scott CostCharles Nicholas","2001","http://link.springer.com/chapter/10.1007/3-540-45584-1_12","Chapter"
"Agents Making Sense of the Semantic Web","Innovative Concepts for Agent-Based Systems","","","","10.1007/978-3-540-45173-0_32","Lalana KagalFilip PerichHarry ChenSovrin ToliaYouyong ZouTim FininAnupam JoshiYun PengR. Scott CostCharles Nicholas","2003","http://link.springer.com/chapter/10.1007/978-3-540-45173-0_32","Chapter"
"OMIT: Domain Ontology and Knowledge Acquisition in MicroRNA Target Prediction","On the Move to Meaningful Internet Systems, OTM 2010","","","","10.1007/978-3-642-16949-6_36","Christopher TownsendJingshan HuangDejing DouShivraj DalviPatrick J. HayesLei HeWen-chang LinHaishan LiuRobert RudnickHardik ShahHao SunXiaowei WangMing Tan","2010","http://link.springer.com/chapter/10.1007/978-3-642-16949-6_36","Chapter"
"POTENTIAL: A highly adaptive core of parallel database system","Journal of Computer Science and Technology","","15","6","10.1007/BF02948835","Jirong WenHong ChenShan Wang","2000","http://link.springer.com/article/10.1007/BF02948835","Article"
"Using Speech Recognition and Intelligent Search Tools to Enhance Information Accessibility","Universal Access in Human-Computer Interaction. Applications and Services","","","","10.1007/978-3-540-73283-9_25","Keith BainJason HinesPawan LingrasYumei Qin","2007","http://link.springer.com/chapter/10.1007/978-3-540-73283-9_25","Chapter"
"Can Social Features Help Learning to Rank YouTube Videos?","Web Information Systems Engineering - WISE 2012","","","","10.1007/978-3-642-35063-4_40","Sergiu Viorel ChelaruClaudia Orellana-RodriguezIsmail Sengor Altingovde","2012","http://link.springer.com/chapter/10.1007/978-3-642-35063-4_40","Chapter"
"Nontraditional applications of automata theory","Theoretical Aspects of Computer Software","","","","10.1007/3-540-57887-0_116","Moshe Y. Vardi","1994","http://link.springer.com/chapter/10.1007/3-540-57887-0_116","Chapter"
"EReX: A Conceptual Model for XML","Database and XML Technologies","","","","10.1007/978-3-540-30081-6_10","Murali Mani","2004","http://link.springer.com/chapter/10.1007/978-3-540-30081-6_10","Chapter"
"Monitoring Research Collaborations Using Semantic Web Technologies","The Semantic Web: Research and Applications","","","","10.1007/11431053_45","Harith AlaniNicholas GibbinsHugh GlaserStephen HarrisNigel Shadbolt","2005","http://link.springer.com/chapter/10.1007/11431053_45","Chapter"
"Performance Analysis of Storage Systems","Performance Evaluation: Origins and Directions","","","","10.1007/3-540-46506-5_3","Elizabeth ShriverBruce K. HillyerAvi Silberschatz","2000","http://link.springer.com/chapter/10.1007/3-540-46506-5_3","Chapter"
"On the power of subsumption and context checks","Design and Implementation of Symbolic Computation Systems","","","","10.1007/3-540-52531-9_132","Roland N. BolKrzysztof R. AptJan Willem Klop","1990","http://link.springer.com/chapter/10.1007/3-540-52531-9_132","Chapter"
"PAGE: A Distributed Infrastructure for Fostering RDF-Based Interoperability","Distributed Applications and Interoperable Systems","","","","10.1007/11773887_27","Emanuele Della ValleAndrea TuratiAlessandro Ghioni","2006","http://link.springer.com/chapter/10.1007/11773887_27","Chapter"
"User Relevance for Item-Based Collaborative Filtering","Computer Information Systems and Industrial Management","","","","10.1007/978-3-642-40925-7_31","R. LathaR. Nadarajan","2013","http://link.springer.com/chapter/10.1007/978-3-642-40925-7_31","Chapter"
"Quality of Business Process Models","Quality in Business Process Modeling","","","","10.1007/978-3-319-42512-2_2","John Krogstie","2016","http://link.springer.com/chapter/10.1007/978-3-319-42512-2_2","Chapter"
"A Systematic Review of Software Requirements Selection and Prioritization Using SBSE Approaches","Search Based Software Engineering","","","","10.1007/978-3-642-39742-4_15","Antônio Mauricio PitangueiraRita Suzana P. MacielMárcio de Oliveira BarrosAline Santos Andrade","2013","http://link.springer.com/chapter/10.1007/978-3-642-39742-4_15","Chapter"
"Adaptiveness in Linda-Based Coordination Models","Engineering Self-Organising Systems","","","","10.1007/978-3-540-24701-2_15","Ronaldo MenezesRobert Tolksdorf","2004","http://link.springer.com/chapter/10.1007/978-3-540-24701-2_15","Chapter"
"An Efficient and Robust Routing Protocol for Data Aggregation","Wireless Algorithms, Systems, and Applications","","","","10.1007/11814856_18","Xiwei ZhaoKami (Sam) MakkiNiki Pissinou","2006","http://link.springer.com/chapter/10.1007/11814856_18","Chapter"
"Detecting Healthcare Fraud through Patient Sharing Schemes","Information Systems, Technology and Management","","","","10.1007/978-3-642-29166-1_39","Aryya GangopadhyaySong ChenYelena Yesha","2012","http://link.springer.com/chapter/10.1007/978-3-642-29166-1_39","Chapter"
"A Comparison of Reasoning Techniques for Querying Large Description Logic ABoxes","Logic for Programming, Artificial Intelligence, and Reasoning","","","","10.1007/11916277_16","Boris MotikUlrike Sattler","2006","http://link.springer.com/chapter/10.1007/11916277_16","Chapter"
"Towards a Context-Aware Mobile Recommendation Architecture","Mobile Web Information Systems","","","","10.1007/978-3-319-10359-4_5","María del Carmen Rodríguez-HernándezSergio Ilarri","2014","http://link.springer.com/chapter/10.1007/978-3-319-10359-4_5","Chapter"
"First Steps to an Audio Ontology-Based Classifier for Telemedicine","Advanced Data Mining and Applications","","","","10.1007/11811305_92","Cong Phuong NguyenNgoc Yen PhamEric Castelli","2006","http://link.springer.com/chapter/10.1007/11811305_92","Chapter"
"Conjunctive Query Answering in Probabilistic Datalog+/– Ontologies","Web Reasoning and Rule Systems","","","","10.1007/978-3-642-23580-1_7","Georg GottlobThomas LukasiewiczGerardo I. Simari","2011","http://link.springer.com/chapter/10.1007/978-3-642-23580-1_7","Chapter"
"Deductive object databases","Object-Oriented Programming","","","","10.1007/BFb0052185","Elisa BertinoGiovanna GuerriniDanilo Montesi","1994","http://link.springer.com/chapter/10.1007/BFb0052185","Chapter"
"ReFlO: an interactive tool for pipe-and-filter domain specification and program generation","Software & Systems Modeling","","15","2","10.1007/s10270-014-0403-7","Rui C. GonçalvesDon BatoryJoão L. Sobral","2016","http://link.springer.com/article/10.1007/s10270-014-0403-7","Article"
"MurO: A Multi-representation Ontology as a Foundation of Enterprise Information Systems","Intelligent Information Technology","","","","10.1007/978-3-540-30561-3_31","Rami RifaiehAhmed AraraAïcha Nabila Benharkat","2005","http://link.springer.com/chapter/10.1007/978-3-540-30561-3_31","Chapter"
"Architecture for Media Streaming Delivery over P2P Networks","Advanced Distributed Systems","","","","10.1007/11533962_8","Francisco de Asís López-FuentesEckehard Steinbach","2005","http://link.springer.com/chapter/10.1007/11533962_8","Chapter"
"A Knowledge Portal for Cultural Information Resources: Towards an Architecture","Perspectives of Systems Informatics","","","","10.1007/978-3-540-70881-0_45","Yury ZagorulkoJawed SiddiqiBabak AkhgarOlesya Borovikova","2007","http://link.springer.com/chapter/10.1007/978-3-540-70881-0_45","Chapter"
"PIM Meets Web 2.0","Conceptual Modeling - ER 2008","","","","10.1007/978-3-540-87877-3_3","Moira C. Norrie","2008","http://link.springer.com/chapter/10.1007/978-3-540-87877-3_3","Chapter"
"Efficient Stream Processing in the Cloud","Quality, Reliability, Security and Robustness in Heterogeneous Networks","","","","10.1007/978-3-642-29222-4_19","Dung VuVana KalogerakiYannis Drougas","2012","http://link.springer.com/chapter/10.1007/978-3-642-29222-4_19","Chapter"
"The Influence of Client Platform on Web Page Content: Measurements, Analysis, and Implications","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26187-4_1","Sean SandersGautam SankaJay AikatJasleen Kaur","2015","http://link.springer.com/chapter/10.1007/978-3-319-26187-4_1","Chapter"
"Routing in Mobile Ad-hoc and Peer-to-Peer Networks A Comparison","Web Engineering and Peer-to-Peer Computing","","","","10.1007/3-540-45745-3_16","Rüdiger SchollmeierIngo GruberMichael Finkenzeller","2002","http://link.springer.com/chapter/10.1007/3-540-45745-3_16","Chapter"
"Semantic Process Retrieval with iSPARQL","The Semantic Web: Research and Applications","","","","10.1007/978-3-540-72667-8_43","Christoph KieferAbraham BernsteinHong Joo LeeMark KleinMarkus Stocker","2007","http://link.springer.com/chapter/10.1007/978-3-540-72667-8_43","Chapter"
"Similarity Search over Personal Process Description Graph","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26190-4_35","Jing Ouyang HsuHye-young PaikLiming Zhan","2015","http://link.springer.com/chapter/10.1007/978-3-319-26190-4_35","Chapter"
"Introducing CAPER, a Collaborative Platform for Open and Closed Information Acquisition, Processing and Linking","HCI International 2011 – Posters’ Extended Abstracts","","","","10.1007/978-3-642-22098-2_96","Carlo AliprandiAndrea Marchetti","2011","http://link.springer.com/chapter/10.1007/978-3-642-22098-2_96","Chapter"
"Knowledgebase Representation Language Interoperation Tool","Rule-Based Modeling and Computing on the Semantic Web","","","","10.1007/978-3-642-24908-2_12","Taylor OsmunPatrick ThébeauYevgen Biletskiy","2011","http://link.springer.com/chapter/10.1007/978-3-642-24908-2_12","Chapter"
"Applying User-Centered Techniques to Develop a Radiology Teaching File System","HCI International 2011 – Posters’ Extended Abstracts","","","","10.1007/978-3-642-22095-1_98","Marcelo dos SantosAsa Fujino","2011","http://link.springer.com/chapter/10.1007/978-3-642-22095-1_98","Chapter"
"Digital Neighbourhoods: Partitioning the Web for information indexing and searching","Advanced Information Systems Engineering","","","","10.1007/3-540-63107-0_21","Pedro Falcão GonçalvesAna Carolina SalgadoSilvio Lemos Meira","1997","http://link.springer.com/chapter/10.1007/3-540-63107-0_21","Chapter"
"Extended Rules in Knowledge-Based Data Access","Rule-Based Modeling and Computing on the Semantic Web","","","","10.1007/978-3-642-24908-2_16","Jaroslaw BakGrażyna BrzykcyCzeslaw Jedrzejek","2011","http://link.springer.com/chapter/10.1007/978-3-642-24908-2_16","Chapter"
"Expressing and Configuring Quality of Data in Multi-purpose Wireless Sensor Networks","Sensor Systems and Software","","","","10.1007/978-3-642-23583-2_7","Pedro Javier del CidDaniel HughesSam MichielsWouter Joosen","2011","http://link.springer.com/chapter/10.1007/978-3-642-23583-2_7","Chapter"
"Context-driven information base update","Advanced Information Systems Engineering","","","","10.1007/3-540-61292-0_18","Panos ConstantopoulosYannis Tzitzikas","1996","http://link.springer.com/chapter/10.1007/3-540-61292-0_18","Chapter"
"The development of an Object-Oriented Multimedia Information System","Object-Oriented Methodologies and Systems","","","","10.1007/BFb0014031","M. P. PapaG. RagucciG. CorrenteM. FerriseS. GiurleoD. Vitale","1994","http://link.springer.com/chapter/10.1007/BFb0014031","Chapter"
"An Interactive Framework for Document Retrieval and Presentation with Question-Answering Function in Restricted Domain","New Trends in Applied Artificial Intelligence","","","","10.1007/978-3-540-73325-6_13","Teruhisa MisuTatsuya Kawahara","2007","http://link.springer.com/chapter/10.1007/978-3-540-73325-6_13","Chapter"
"Concept framework for audio information retrieval: ARF","Journal of Computer Science and Technology","","18","5","10.1007/BF02947127","GuoHui LiDeFeng WuJun Zhang","2003","http://link.springer.com/article/10.1007/BF02947127","Article"
"A Comparison of Methods for Automatic Term Extraction for Domain Analysis","Software Reuse for Dynamic Systems in the Cloud and Beyond","","","","10.1007/978-3-319-14130-5_19","William B. FrakesGregory KulczyckiJason Tilley","2014","http://link.springer.com/chapter/10.1007/978-3-319-14130-5_19","Chapter"
"Towards Ontological Commitments with Ω-RIDL Markup Language","Advances in Rule Interchange and Applications","","","","10.1007/978-3-540-75975-1_8","Damien TrogYan TangRobert Meersman","2007","http://link.springer.com/chapter/10.1007/978-3-540-75975-1_8","Chapter"
"Exploiting E-C-A Rules for Defining and Processing Context-Aware Push Messages","Advances in Rule Interchange and Applications","","","","10.1007/978-3-540-75975-1_19","Thomas BeerJörg RasingerWolfram HöpkenMatthias FuchsHannes Werthner","2007","http://link.springer.com/chapter/10.1007/978-3-540-75975-1_19","Chapter"
"An Efficient Location-Aware Publish/Subscribe Index with Boolean Expressions","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26190-4_15","Hanhan JiangPengpeng ZhaoVictor S. ShengGuanfeng LiuAn LiuJian WuZhiming Cui","2015","http://link.springer.com/chapter/10.1007/978-3-319-26190-4_15","Chapter"
"Hierarchical Clustering of Metamodels for Comparative Analysis and Visualization","Modelling Foundations and Applications","","","","10.1007/978-3-319-42061-5_1","Önder BaburLoek CleophasMark van den Brand","2016","http://link.springer.com/chapter/10.1007/978-3-319-42061-5_1","Chapter"
"Automatic Building of Socio-semantic Networks for Requirements Analysis","Knowledge Science, Engineering and Management","","","","10.1007/978-3-319-12096-6_4","Christophe ThovexFrancky Trichet","2014","http://link.springer.com/chapter/10.1007/978-3-319-12096-6_4","Chapter"
"Process and Product Approaches in Knowledge Management","Knowledge Asset Management","","","","10.1007/978-1-4471-0069-0_1","Gregoris Mentzas PhDDimitris Apostolou PhDAndreas Abecker Dipl.-Inform.Ron Young FBCS","2003","http://link.springer.com/chapter/10.1007/978-1-4471-0069-0_1","Chapter"
"Combining RDF Vocabularies for Expert Finding","The Semantic Web: Research and Applications","","","","10.1007/978-3-540-72667-8_18","Boanerges Aleman-MezaUldis BojārsHarold BoleyJohn G. BreslinMalgorzata MocholLyndon JB NixonAxel PolleresAnna V. Zhdanova","2007","http://link.springer.com/chapter/10.1007/978-3-540-72667-8_18","Chapter"
"Near-Duplicate Mail Detection Based on URL Information for Spam Filtering","Information Networking. Advances in Data Communications and Wireless Networks","","","","10.1007/11919568_84","Chun-Chao YehChia-Hui Lin","2006","http://link.springer.com/chapter/10.1007/11919568_84","Chapter"
"A RuleML Study on Integrating Geographical and Health Information","Rule Representation, Interchange and Reasoning on the Web","","","","10.1007/978-3-540-88808-6_19","Sheng GaoDarka MiocHarold BoleyFrancois AntonXiaolun Yi","2008","http://link.springer.com/chapter/10.1007/978-3-540-88808-6_19","Chapter"
"Applying the Methodology to a Payables Processing System","Software Failure Risk","","","","10.1007/978-1-4615-3020-6_7","Susan A. Sherer","1992","http://link.springer.com/chapter/10.1007/978-1-4615-3020-6_7","Chapter"
"Building eCommerce Systems from Shared Micro-schemas","On the Move to Meaningful Internet Systems: OTM 2011","","","","10.1007/978-3-642-25109-2_19","Stefania LeoneMoira C. Norrie","2011","http://link.springer.com/chapter/10.1007/978-3-642-25109-2_19","Chapter"
"The tree inclusion problem","TAPSOFT '91","","","","10.1007/3-540-53982-4_12","Pekka KilpeläinenHeikki Mannila","1991","http://link.springer.com/chapter/10.1007/3-540-53982-4_12","Chapter"
"Automatically Solving Simultaneous Type Equations for Type Difference Transformations That Redesign Code","Software Reuse for Dynamic Systems in the Cloud and Beyond","","","","10.1007/978-3-319-14130-5_8","Ted J. Biggerstaff","2014","http://link.springer.com/chapter/10.1007/978-3-319-14130-5_8","Chapter"
"Managing Knowledge in the Human Genetic Variation (HGV) Testing Context","Computer Supported Cooperative Work in Design III","","","","10.1007/978-3-540-72863-4_56","Yulong GuJames WarrenJan Stanek","2007","http://link.springer.com/chapter/10.1007/978-3-540-72863-4_56","Chapter"
"Exploring very large state spaces using genetic algorithms","International Journal on Software Tools for Technology Transfer","","6","2","10.1007/s10009-004-0141-1","Patrice GodefroidSarfraz Khurshid","2004","http://link.springer.com/article/10.1007/s10009-004-0141-1","Article"
"Verification Condition Generation for Permission Logics with Abstract Predicates and Abstraction Functions","ECOOP 2013 – Object-Oriented Programming","","","","10.1007/978-3-642-39038-8_19","Stefan HeuleIoannis T. KassiosPeter MüllerAlexander J. Summers","2013","http://link.springer.com/chapter/10.1007/978-3-642-39038-8_19","Chapter"
"Are RESTful APIs Well-Designed? Detection of their Linguistic (Anti)Patterns","Service-Oriented Computing","","","","10.1007/978-3-662-48616-0_11","Francis PalmaJavier Gonzalez-HuertaNaouel MohaYann-Gaël GuéhéneucGuy Tremblay","2015","http://link.springer.com/chapter/10.1007/978-3-662-48616-0_11","Chapter"
"Inductive Databases and Constraint-Based Data Mining","Formal Concept Analysis","","","","10.1007/978-3-642-20514-9_1","Sašo Džeroski","2011","http://link.springer.com/chapter/10.1007/978-3-642-20514-9_1","Chapter"
"A Custom Browser Architecture to Execute Web Navigation Sequences","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26187-4_11","José LosadaJuan RaposoAlberto PanPaula MontotoManuel Álvarez","2015","http://link.springer.com/chapter/10.1007/978-3-319-26187-4_11","Chapter"
"Auction Scenarios of Cultural Products over the WWW","Advances in Informatics","","","","10.1007/11573036_16","D. K. Koukopoulos","2005","http://link.springer.com/chapter/10.1007/11573036_16","Chapter"
"GSPD: A Middleware That Supports Publication and Discovery of Grid Services","Grid and Cooperative Computing","","","","10.1007/978-3-540-24679-4_127","Feilong TangMinglu LiJian CaoQianni DengJiadi YuZhengwei Qi","2004","http://link.springer.com/chapter/10.1007/978-3-540-24679-4_127","Chapter"
"Proactive knowledge delivery for enterprise knowledge management","Learning Software Organizations","","","","10.1007/BFb0101416","Andreas AbeckerAnsgar BernardiMichael Sintek","2000","http://link.springer.com/chapter/10.1007/BFb0101416","Chapter"
"Social Networks as Vital Resources for Adults’ Learning","Virtual and Networked Organizations, Emergent Technologies and Tools","","","","10.1007/978-3-642-31800-9_36","Kathleen P. King","2012","http://link.springer.com/chapter/10.1007/978-3-642-31800-9_36","Chapter"
"On developing a repository structure tailored for reuse with improvement","Learning Software Organizations","","","","10.1007/BFb0101413","Raimund L. Feldmann","2000","http://link.springer.com/chapter/10.1007/BFb0101413","Chapter"
"Improved relevance ranking in WebGather","Journal of Computer Science and Technology","","16","5","10.1007/BF02948958","Ming LeiJianyong WangBaojue ChenXiaoming Li","2001","http://link.springer.com/article/10.1007/BF02948958","Article"
"A browser for software reuse","Advanced Information Systems Engineering","","","","10.1007/BFb0035139","Panos ConstantopoulosElena Pataki","1992","http://link.springer.com/chapter/10.1007/BFb0035139","Chapter"
"Software Process Simulation Modeling: An Extended Systematic Review","New Modeling Concepts for Today’s Software Processes","","","","10.1007/978-3-642-14347-2_27","He ZhangBarbara KitchenhamDietmar Pfahl","2010","http://link.springer.com/chapter/10.1007/978-3-642-14347-2_27","Chapter"
"The Diffusion of Pastebin Tools to Enhance Communication in FLOSS Mailing Lists","Open Source Systems: Adoption and Impact","","","","10.1007/978-3-319-17837-0_5","Megan SquireAmber K. Smith","2015","http://link.springer.com/chapter/10.1007/978-3-319-17837-0_5","Chapter"
"Toolkits for Generating Wrappers","Objects, Components, Architectures, Services, and Applications for a Networked World","","","","10.1007/3-540-36557-5_15","Stefan KuhlinsRoss Tredwell","2003","http://link.springer.com/chapter/10.1007/3-540-36557-5_15","Chapter"
"5. First and Second Generation of Peer-to-Peer Systems","Peer-to-Peer Systems and Applications","","","","10.1007/11530657_5","Jörg EberspächerRüdiger Schollmeier","2005","http://link.springer.com/chapter/10.1007/11530657_5","Chapter"
"Distributed Context Models in Support of Ubiquitous Mobile Awareness Services","Sensor Systems and Software","","","","10.1007/978-3-642-23583-2_9","Jamie WaltersTheo KanterRoger Norling","2011","http://link.springer.com/chapter/10.1007/978-3-642-23583-2_9","Chapter"
"Service Discovery and Orchestration for Distributed Service Repositories","Service-Oriented Computing - ICSOC 2003","","","","10.1007/978-3-540-24593-3_5","Ioannis FikourasEugen Freiter","2003","http://link.springer.com/chapter/10.1007/978-3-540-24593-3_5","Chapter"
"Query Monitoring and Analysis for Database Privacy - A Security Automata Model Approach","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26187-4_42","Anand KumarJay LigattiYi-Cheng Tu","2015","http://link.springer.com/chapter/10.1007/978-3-319-26187-4_42","Chapter"
