Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
FaCoY – A Code-to-Code Search Engine,K. Kim; D. Kim; T. F. Bissyandé; E. Choi; L. Li; J. Klein; Y. Le Traon,NA; NA; NA; NA; NA; NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE),,2018,,,946,957,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453174,code search;semantic clones;code to code search,Cloning;Search engines;Semantics;Software;Natural languages;Syntactics;Runtime,query processing;search engines;software engineering;software maintenance,code-to-code search engine;code search tasks;code-to-code approach;code-patch recommendation;FaCoY;semantic code clones;directly matching code query tokens;user input code;statically finding code fragments;code diversity;code transplantation,,,,,,,,,,IEEE,IEEE Conferences
Assisting code search with automatic Query Reformulation for bug localization,B. Sisman; A. C. Kak,"Purdue University, West Lafayette, IN; Purdue University, West Lafayette, IN",2013 10th Working Conference on Mining Software Repositories (MSR),,2013,,,309,318,,,,10.1109/MSR.2013.6624044,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6624044,Query Expansion;Query Reformulation;Pseudo Relevance Feedback;Bug Localization;Software Maintenance,Software;Software libraries;Strips;Measurement;Context;Animation;Search engines,document handling;program debugging;query processing;software metrics,code search;automatic query reformulation;source code retrieval;software engineering tasks;query design;software artifact retrieval;code base;automatic QR;under-the-hood operation;user search query;highest-ranked artifact retrieval;initial query;positional proximity;similarity metric;natural language document retrieval;bug localization performance improvement;software projects,,,,,,,,,,IEEE,IEEE Conferences
Using Structured Queries for Source Code Search,B. P. Eddy; N. A. Kraft,NA; NA,2014 IEEE International Conference on Software Maintenance and Evolution,,2014,,,431,435,,,,10.1109/ICSME.2014.68,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976112,Software maintenance;program comprehension;text retrieval;structured document retrieval;static analysis,Accuracy;Software;Context;Computer bugs;Database languages;Search engines,computational linguistics;query processing;software maintenance;source code (software);text analysis,CAS queries;structural similarity;source code entities;AST information;abstract syntax tree;feature location technique;structured retrieval model;unstructured representations;TR model;text retrieval;search-oriented tasks;automation;traceability link recovery;software maintenance tasks;source code search;structured queries,,,,,,,,,,IEEE,IEEE Conferences
Improved query reformulation for concept location using CodeRank and document structures,M. M. Rahman; C. K. Roy,"Department of Computer Science, University of Saskatchewan, Canada; Department of Computer Science, University of Saskatchewan, Canada",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),,2017,,,428,439,,,,10.1109/ASE.2017.8115655,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115655,Query reformulation;CodeRank;term weighting;query quality analysis;concept location;data resampling,Natural languages;Periodic structures;Measurement;Java;Software maintenance,learning (artificial intelligence);query formulation;query processing;software maintenance;source code (software);text analysis,initial query;request texts;relevant source code locations;software system;concept location;source document structures;query quality analysis;machine learning;improved query reformulation;software maintenance;software change requests;baseline queries;weight-CodeRank;search terms,,,,,,,,,,IEEE,IEEE Conferences
Using Observed Behavior to Reformulate Queries during Text Retrieval-based Bug Localization,O. Chaparro; J. M. Florez; A. Marcus,NA; NA; NA,2017 IEEE International Conference on Software Maintenance and Evolution (ICSME),,2017,,,376,387,,,,10.1109/ICSME.2017.100,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094437,Observed Behavior;Query Reformulation;Bug Localization;Text Retrieval,Computer bugs;Software testing;Natural languages;Software systems;Noise measurement;History,program debugging;query processing;relevance feedback;text analysis,low-quality query;observed behavior;bug localization approaches;bug reports;relevance feedback;query reformulation;text retrieval-based bug localization;TR-based approaches;code retrieval;OB;bug data;open source systems;TR-based bug localization;MRR;MAP;buggy software artifacts,,,,,,,,,,IEEE,IEEE Conferences
On the Reduction of Verbose Queries in Text Retrieval Based Software Maintenance,O. Chaparro; A. Marcus,NA; NA,2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),,2016,,,716,718,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883382,Query Reduction;Software Maintenance;Text Retrieval,Computer bugs;Software engineering;Conferences;Software maintenance;Information retrieval;Context,public domain software;query processing;software maintenance;text analysis,MAP;MRR;open source systems;text retrieval-based concept location;software retrieval;text retrieval based software maintenance;verbose query reduction,,,,,,,,,,IEEE,IEEE Conferences
Integrating source code search into git client for effective retrieving of change history,M. Sasaki; S. Matsumoto; S. Kusumoto,"Graduate School of Information Science and Technology, Osaka University, Japan; Graduate School of Information Science and Technology, Osaka University, Japan; Graduate School of Information Science and Technology, Osaka University, Japan",2018 IEEE Workshop on Mining and Analyzing Interaction Histories (MAINT),,2018,,,1,5,,,,10.1109/MAINT.2018.8323089,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8323089,Code change history;source code search;MJgit;Git;abstract syntax tree,History;Tools;Computer bugs;Software;Java;Standards;Prototypes,data handling;query processing;source code (software),git client;general version control systems;change history manipulation;source code search technique;development management;search code querying;software repositories,,,,,,,,,,IEEE,IEEE Conferences
Query expansion via WordNet for effective code search,Meili Lu; X. Sun; S. Wang; D. Lo; Yucong Duan,"School of Information Engineering, Yangzhou University, China; School of Information Engineering, Yangzhou University, China; School of Information Systems, Singapore Management University, Singapore; School of Information Systems, Singapore Management University, Singapore; School of Information Science and Technology, Hainan University, Haikou, China","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",,2015,,,545,549,,,,10.1109/SANER.2015.7081874,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081874,,Software maintenance;Natural languages;Software engineering;Conferences;Information retrieval;Software systems,Java;natural language processing;program compilers;program interpreters;public domain software;query formulation;software maintenance;source code (software),WordNet;source code search;software maintenance;search technique;query quality;natural language phrases;source code identifiers;compiler;Rhino;JavaScript-ECMAScript interpreter;Conquer;query expansion technique;query reformulation technique,,,,,,,,,,IEEE,IEEE Conferences
TextRank based search term identification for software change tasks,Mohammad Masudur Rahman; C. K. Roy,"University of Saskatchewan, Canada; University of Saskatchewan, Canada","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",,2015,,,540,544,,,,10.1109/SANER.2015.7081873,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081873,Concept location;TextRank;Search Term;Reverse Engineering,Software;Semantics;Natural languages;Search engines;Measurement;Software algorithms,graph theory;natural language processing;software maintenance;text analysis,TextRank based search term identification;software change task;software maintenance;software development;software change requests;natural language text;source code location;search terms;task description analysis;text graph;graph-based representation,,,,,,,,,,IEEE,IEEE Conferences
Improving source code search with natural language phrasal representations of method signatures,E. Hill; L. Pollock; K. Vijay-Shanker,"Deptartment of Computer Science, Montclair State University, NJ 07043, USA; Deptartment of Computer and Information Sciences, University of Delaware, Newark, 19716, USA; Deptartment of Computer and Information Sciences, University of Delaware, Newark, 19716, USA",2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),,2011,,,524,527,,,,10.1109/ASE.2011.6100115,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6100115,code search;concern location;software maintenance,Semantics;Software;Mathematical model;Equations;Information retrieval;Head;Natural languages,natural languages;query processing;software maintenance;software tools;source coding,source code search improvement;natural language phrasal representations;method signatures;maintenance tasks;software search tools;search techniques;query word,,,,,,,,,,IEEE,IEEE Conferences
